순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독,tmdb_id,genres,cast,poster_url
1,명량,2014-07-30,"135,762,515,310","17,616,371","1,587","188,730",한국,한국,(주)씨제이이엔엠,액션,128분,8.88,김한민,282631.0,"전쟁, 액션, 드라마, 역사","최민식, 류승룡, 조진웅, 진구, 이정현, 김명곤, 권율, 노민우, 김태훈, 오타니 료헤이, Kim Kang-il, 박보검, 이해영, 장준녕, 문영동, 김원해, 최덕문, 박노식, Shin Yoo-ram, Ha Soo-ho, Kim Hyeon-tae, Kang Tae-young, Kim Koo-taek, 조복래, 고경표, 이재구, 조하석, 이주실, Kyul Hwi, 주석태, Kim Min-sik, Lee Seung-joon, 이승준, Jung Je-woo, Kim Moon-jong",https://image.tmdb.org/t/p/w500/fl3G8TprVzt4icbYyQKqdPmUfIO.jpg
2,극한직업,2019-01-23,"139,657,209,516","16,266,491","2,003","292,819",한국,한국,(주)씨제이이엔엠,코미디,111분,9.2,이병헌,567646.0,"액션, 코미디, 범죄","류승룡, 이하늬, 진선규, 이동휘, 공명, 신하균, 오정세, 김의성, 송영규, 허준석, 김지영, 김종수, 양현민, 이중옥, 김강현, 태원석, Jang Ji-woong, Jang Jin-hee, 신신애, Na Chul, Ji Chan, Jung Won-chang, Yoo Je-yoon, 한준우, 정재광, 김남우, Jeongeun",https://image.tmdb.org/t/p/w500/jbHNkNydiZstlqhhBSvG19lm4NL.jpg
3,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,139분,8.73,김용화,397567.0,"액션, 모험, 드라마, 판타지, 스릴러","하정우, 차태현, 주지훈, 김향기, 이정재, 김동욱, 예수정, 오달수, 임원희, 성유빈, 구승현, 이준혁, 도경수, 정해균, 김해숙, 김수안, 이경영, 김하늘, 장광, Kang Da-hyeon, 유준상, 남일우, 정지훈, 김수로, Na Chul, 태원석, Oh Hee-jun, 김태준, 임철수, Hong In, 김민종, 마동석, 김그림",https://image.tmdb.org/t/p/w500/z54zrEXAKd5u1SCPNOIAKgvGXte.jpg
4,국제시장,2014-12-17,"110,960,515,230","14,266,489","1,044","212,728",한국,한국,(주)씨제이이엔엠,드라마,126분,9.16,윤제균,313108.0,드라마,"황정민, 김윤진, 오달수, 정진영, 장영남, 라미란, Uhm Ji-sung, 김슬기, 김민재, 태인호, Choe Stella Kim, Go Yoon, 박선웅, 정윤호, Park Yeong-su, 허동원, 매튜 다우마, 전소미, 정성호, Jeong Jae Min, Lee Hyun, Hwang Sun-hwa, Jang Dae-woong, Shin Rin-a, Lee Ye-eun, Jeong Gi-seop, Lee Jae-Soon, 아누팜 트리파티, 박영수, So Jun-seong, 최재섭, Jung Young-ki, Yoo Jeong-ho, Maeng Se-chang, 홍석연, 남진복, Hwang In-jun, Jo Yeon-ho, 김설, Jin Sun-mi, Sung Nak-kyung, Kim Jin-hyeok, Han Chul-woo, 손영순, Yoo Jae-sang, 김선영, Kim Soo-woong, Park Sang-hyeok, 현봉식, 박혜진, Park Jin-soo, Kang Shin-chul, Lee Min-young, 이호철, 박재완, Kim Geun-young, Nam Seung-woo, 박길수, 김건호, Jung Chan-woo",https://image.tmdb.org/t/p/w500/rmZ4qkpDVdTgjwliJ84aJ43hStt.jpg
5,어벤져스: 엔드게임,2019-04-24,"122,490,648,020","13,977,409","2,835","246,411",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,181분,9.5,안소니 루소,299534.0,"모험, SF, 액션","로버트 다우니 주니어, 크리스 에반스, 마크 러팔로, 크리스 헴스워스, 스칼렛 요한슨, 제레미 레너, 조쉬 브롤린, 돈 치들, 폴 러드, 베네딕트 컴버배치, 채드윅 보스만, 브리 라슨, 톰 홀랜드, 카렌 길런, 조 샐다나, 에반젤린 릴리, 테사 톰슨, 르네 루소, 엘리자베스 올슨, 앤서니 매키, 세바스찬 스탠, 톰 히들스턴, 다나이 구리라, 베네딕트 웡, 폼 클레멘티에프, 데이브 바티스타, 레티티아 라이트, 존 슬래터리, 틸다 스윈튼, 존 패브로, 헤일리 앳웰, 나탈리 포트만, 마리사 토메이, 타이카 와이티티, 안젤라 바셋, 마이클 더글라스, 미셸 파이퍼, 윌리엄 허트, 코비 스멀더스, 숀 건, 윈스턴 듀크, 린다 카델리니, Maximiliano Hernández, 프랭크 그릴로, 사나다 히로유키, Tom Vaughan-Lawlor, 제임스 다시, Jacob Batalon, 빈 디젤, 브래들리 쿠퍼, 기네스 팰트로, 로버트 레드포드, 크리스 프랫, 사무엘 L. 잭슨, Lexi Rabe, 로스 마퀀드, 조 루소, Emma Fuhrmann, Michael James Shaw, Terry Notary, 케리 콘돈, Ben Sakamoto, Ava Russo, Cade Woodward, 스탠 리, 이벳 니콜 브라운, Callan Mulvey, Lia Russo, Julian Russo, Taylor Patterson, Agostino Rosalina, 켄 정, Ty Simpkins, Jackson A. Dunn, Lee Moore, Bazlo LeClair, Loen LeClair, Matthew Berry, Joy McAvoy, John Michael Morris, Michael A. Cook, Brent McGee, Brian Schaeffer, Jamie Wedel, Anthony G Breed, Erica Ribley, Monique Ganderton, Jim Starlin, Jimmy Ray Pickens, Hye Jin Jang, Russell Bobbitt, James Lin, Jack Champion, 샘 하그레이브, Patrick Gorman, Aaron Lazar, Robert Pralgo, Tom Wisdom, John Posey, Ameenah Kaplan, Olaniyan Thurmon, Jennifer Elmore, Mike Lutz, Donald Mustard",https://image.tmdb.org/t/p/w500/z7ilT5rNN9kDo8JZmgyhM6ej2xv.jpg
6,겨울왕국 2,2019-11-21,"115,033,955,041","13,768,797","2,648","301,536",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,103분,8.94,크리스 벅,330457.0,"가족, 애니메이션, 모험, 코미디, 판타지","크리스틴 벨, 이디나 멘젤, 조시 게드, 조나단 그로프, 에반 레이첼 우드, 스털링 K. 브라운, 알프레드 몰리나, Rachel Matthews, Jason Ritter, 마사 플림턴, 키어런 하인즈, Jeremy Sisto, Stephen J. Anderson, Chris Williams, Maia Wilson, Paul Briggs, Hadley Gannaway, Mattea Conforti, Aurora Aksnes, 앨런 튜딕, Santino Fontana, Livvy Stubenrauch, Eva Bella, Jackson Stein, Delaney Rose Stein, Halima V. Hudson, Isabella Acres, Stephen Apostolina, Kimberly Bailey, David Boat, June Christopher, Antonio Raul Garcia, David Cowgill, Wendy Cutler, Hudson D'Andrea, 그레이 딜라일, 제시카 디치코, Terri Douglas, Robin Atkin Downes, Nick Fisher, Jackie Gonneau, Franck Gourlat, Daniel Kaz, Phil LaMarr, Arnaud Léonard, Mimi Maynard, Scott Menville, Melanie Minichino, 맥스 미틀먼, Matt Nolan, Capri Oliver, Arthur Ortiz, Paul Pape, Michael Ralph, Akai Robinson, Lynwood Robinson, Maddix Robinson, Kaitlyn Robrock, Violet Grace Schaffer, Pepper Sweeney, Fred Tatasciore, Jean-Alain Velardo, 카리 월그런, Matthew Wood",https://image.tmdb.org/t/p/w500/nPwt7cv4eeUeI0t7CuWm3BctetO.jpg
7,베테랑,2015-08-05,"105,170,856,250","13,414,484","1,115","199,307",한국,한국,(주)씨제이이엔엠,액션,123분,9.24,류승완,346646.0,"액션, 범죄","황정민, 유아인, 유해진, 오달수, 장윤주, 오대환, 김시후, 정웅인, 정만식, 천호진, 송영창, 진경, 유인영, 이동휘, 장소연, 김민재, 황병국, 박종환, 엄태구, 박소담, 고규필, 마동석, 배성우, Gambhir Man Shrestha, 이상희, 이다해, 이채은, Choe Min, Bae Je-gi, 신승환",https://image.tmdb.org/t/p/w500/vPFqA1KxYaVJg6foIuRIawGaH5d.jpg
8,아바타,2009-12-17,"125,297,849,000","13,337,833",910,"164,437",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",액션,166분,9.41,제임스 카메론,19995.0,"액션, 모험, 판타지, SF","샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 미셸 로드리게즈, Giovanni Ribisi, 조엘 무어, CCH Pounder, Wes Studi, 라즈 알론소, 딜립 라오, Matt Gerald, Sean Anthony Moran, Jason Whyte, Scott Lawrence, Kelly Kilgour, James Patrick Pitt, Sean Patrick Murphy, Peter Dillon, Kevin Dorman, Kelson Henderson, David Van Horn, Jacob Tomuri, Michael Blain-Rozgay, Jon Curry, Julene Renee, Luke Hawker, Woody Schultz, Peter Mensah, Sonia Yee, Jahnel Curfman, Ilram Choi, Kyla Warren, Lisa Roumain, Debra Wilson, Taylor Kibby, Jodie Landau, Chris Mala, Julie Lamm, Cullen B. Madden, Joseph Brady Madden, Frankie Torres, Austin Wilson, Sara Wilson, Tamica Washington-Miller, Lucy Briant, Nathan Meister, Gerry Blair, Matthew Chamberlain, Paul Yates, Wray Wilson, James Gaylyn, Melvin Leno Clark III, Carvon Futrell, Brandon Jelkes, Micah Moch, Haniyyah Tahirah, Christopher Nolen, Christa Oliver, April Marie Thomas, Bravita A. Threatt, Alicia Vela-Bailey, Larry Rew, Dina Morrone, Rodney Cook",https://image.tmdb.org/t/p/w500/m5lCha2XcbDowDoYHPc0DTNaCPU.jpg
9,서울의 봄,2023-11-22,"127,929,877,212","13,128,419","2,463","374,545",한국,한국,플러스엠 엔터테인먼트,드라마,141분,9.48,김성수,919207.0,"드라마, 역사, 스릴러, 범죄, 전쟁","황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, Jung Hyung-suk, 박정학, 박원상, 정만식, 정해인, 이준혁, Park Hyeok-min, Yum Dong-hun, 전진기, Choe Won-kyung, 차래형, Gong Jae-min, Kwon Hyuk, Han Chang-hyun, Song Young-geun, 전수지, 서광재, 임철형, 현봉식, 곽자형, Jeon Woon-jong, Lee Seung-hee, 김기무, 문성복, Kim Ok-joo, 박정표, Kwak Jin-seok, 한규원, 우미화, Cha Gun-woo, 김정팔, 황병국, Choe Min, Lee Gwi-woo, 강길우, 안성봉, Baek Jin-wook, Paul Battle, Brad Curtin, Yoon Dae-yeul, Lee Gi-hoon, Choi Ji-ho, Jung Tae-sung, 김승환, Oh Hyun-seok, Lee Soon-poong, Kwon Hyeok-beom, Kim Beom-soo, Jang Ji-yong, 권다함, 이가경, Bae Ki-beom, Lee Mi-ra, 정윤하, Lee Jung-chul",https://image.tmdb.org/t/p/w500/qYczuua2tgjfxcdtLNDC0n4mOHz.jpg
10,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487",한국,"한국,홍콩",(주)쇼박스,범죄,135분,7.66,최동훈,124157.0,"액션, 범죄","김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현, 曾国祥, 李心潔, 신하균, 주진모, 서영주, 최덕문, 예수정, Son Byeong-uk, Gi Guk-seo, 채국희, 최진호, 김윤태, 김영웅, 나광훈, Kim Yun-tae",https://image.tmdb.org/t/p/w500/ujIHEzt2EEboVzjQoWZBMYdAt1v.jpg
